gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity,,,,,
2022-02-04 23:04:36 +07,2022-02-04 23:04:36 +07,0,1.868,1132442419,25,97,1010,0,0,0.03,0,0,0,1,4,7,0,0,0,0,,,,,
2022-02-04 23:14:36 +07,2022-02-04 23:14:36 +07,0,0.615,1132904448,25,96,1010,0,0,0.03,0,0,0,1,4,7,0,0,0,0,,,,,
2022-02-04 23:24:36 +07,2022-02-04 23:24:36 +07,0,0.265,0,25,96,1010,0,0,0.03,0,0,0,1,4.1,7,0,0,0,0,,,,,
2022-02-04 23:34:36 +07,2022-02-04 23:34:36 +07,0,0.276,0,25,95,1010,0,0,0.03,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-04 23:44:36 +07,2022-02-04 23:44:36 +07,0,0.317,1130987520,25,96,1010,0,0,0.03,0,0,0,1,3.9,7.2,0,0,0,0,,,,,
2022-02-04 23:54:41 +07,2022-02-04 23:54:40 +07,0,0.292,0,25,96,1010,0,0,0.03,0,0,0,1,3.9,7.1,0,0,0,0,,,,,
2022-02-05 00:04:36 +07,2022-02-05 00:04:36 +07,0,0.185,0,25,96,1010,0,0,0.03,0,0,0,1,4,7,0,0,0,0,,,,,
2022-02-05 00:14:36 +07,2022-02-05 00:14:36 +07,0,1.46,1133317325,25,95,1010,0,0,0.03,0,0,0,1,3.8,7.1,0,0,0,0,,,,,
2022-02-05 00:24:36 +07,2022-02-05 00:24:36 +07,0,0.182,0,25,95,1010,0,0,0.05,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-05 00:34:36 +07,2022-02-05 00:34:36 +07,0,0.041,0,25,96,1010,0,0,0.03,0,0,0,1,4,7,0,0,0,0,,,,,
2022-02-05 00:44:36 +07,2022-02-05 00:44:36 +07,0,0.456,1128425062,25,96,1010,0,0,0.03,0,0,0,1,4,7,0,0,0,0,,,,,
2022-02-05 00:54:36 +07,2022-02-05 00:54:36 +07,0,0.473,1133985792,25,95,1010,0,0,0.04,0,0,0,1,4.1,6.8,0,0,0,0,,,,,
2022-02-05 01:04:36 +07,2022-02-05 01:04:36 +07,0,1.101,1134172570,25,96,1010,0,0,0.04,0,0,0,1,4.1,6.9,0,0,0,0,,,,,
2022-02-05 01:14:36 +07,2022-02-05 01:14:36 +07,0,0.504,1132675072,25,96,1010,0,0,0.04,0,0,0,1,4,7,0,0,0,0,,,,,
2022-02-05 01:24:36 +07,2022-02-05 01:24:36 +07,0,0.299,0,25,96,1010,0,0,0.04,0,0,0,1,4.2,6.7,0,0,0,0,,,,,
2022-02-05 01:34:36 +07,2022-02-05 01:34:36 +07,0,0.489,1133241958,25,95,1010,0,0,0.03,0,0,0,1,4.1,7.2,0,0,0,0,,,,,
2022-02-05 01:44:36 +07,2022-02-05 01:44:36 +07,0,0.526,1132809421,25,93,1010,0,0,0.03,0,0,0,1,3.9,6.7,0,0,0,0,,,,,
2022-02-05 01:54:36 +07,2022-02-05 01:54:36 +07,0,0.342,1131184128,25,93,1010,0,0,0.02,0,0,0,1,4.1,6.9,0,0,0,0,,,,,
2022-02-05 02:04:36 +07,2022-02-05 02:04:36 +07,0,0.358,1094189056,25,93,1009,0,0,0.02,0,0,0,1,4,7.1,0,0,0,0,,,,,
2022-02-05 02:14:36 +07,2022-02-05 02:14:36 +07,0,0.238,0,25,94,1009,0,0,0.03,0,0,0,1,3.9,7,0,0,0,0,,,,,
2022-02-05 02:24:36 +07,2022-02-05 02:24:36 +07,0,0.262,0,25,93,1009,0,0,0.03,0,0,0,1,3.9,6.9,0,0,0,0,,,,,
2022-02-05 02:34:36 +07,2022-02-05 02:34:36 +07,0,0.257,0,25,93,1009,0,0,0.03,0,0,0,1,4.1,6.9,0,0,0,0,,,,,
2022-02-05 02:44:36 +07,2022-02-05 02:44:36 +07,0,0.236,0,25,94,1009,0,0,0.03,0,0,0,1,4,7,0,0,0,0,,,,,
2022-02-05 02:54:36 +07,2022-02-05 02:54:36 +07,0,0.123,0,25,94,1009,0,0,0.03,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-05 03:04:36 +07,2022-02-05 03:04:36 +07,0,0.148,0,25,94,1009,0,0,0.03,0,0,0,1,4.1,7,0,0,0,0,,,,,
2022-02-05 03:14:36 +07,2022-02-05 03:14:36 +07,0,0.461,1131459379,25,94,1009,0,0,0.03,0,0,0,1,3.9,6.8,0,0,0,0,,,,,
2022-02-05 03:24:36 +07,2022-02-05 03:24:36 +07,0,0.236,0,25,95,1009,0,0,0.04,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-05 03:34:36 +07,2022-02-05 03:34:36 +07,0,0.557,1131970560,25,95,1009,0,0,0.04,0,0,0,1,4.3,7.1,0,0,0,0,,,,,
