gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2022-05-24 01:35:19 +07,2022-05-24 01:35:18 +07,32,0.288,0,28,76,1004,0,0,0.06,0,0,0,1,4.1,7.1,0.574,187,1.563,189
2022-05-24 01:45:19 +07,2022-05-24 01:45:18 +07,32,0.457,1128300544,28,76,1004,0,0,0.06,0,0,0,1,4.1,7.1,1.075,204,1.762,257
2022-05-24 01:55:19 +07,2022-05-24 01:55:18 +07,32,0.508,1128084275,28,76,1004,0,0,0.06,0,0,0,1,4.1,7.1,1.09,208,1.502,196
2022-05-24 02:05:19 +07,2022-05-24 02:05:18 +07,32,0.43,1127645184,28,77,1004,0,0,0.06,0,0,0,1,4.1,7.1,0.625,220,1.169,234
2022-05-24 02:15:19 +07,2022-05-24 02:15:18 +07,32,0.469,1128988672,28,77,1004,0,0,0.06,0,0,0,1,4.1,7.1,0.782,191,1.707,213
2022-05-24 02:25:19 +07,2022-05-24 02:25:18 +07,32,0.676,1129460531,28,77,1004,0,0,0.06,0,0,0,1,4.1,7.1,1.176,208,2.629,215
2022-05-24 02:35:19 +07,2022-05-24 02:35:18 +07,32,0.452,1128189133,28,77,1004,0,0,0.06,0,0,0,1,4.1,7.1,1.025,203,1.973,239
2022-05-24 02:45:19 +07,2022-05-24 02:45:18 +07,32,0.426,1128667546,28,78,1004,0,0,0.06,0,0,0,1,4.1,7.1,0.907,230,2.161,203
2022-05-24 02:55:19 +07,2022-05-24 02:55:18 +07,32,0.39,1126072320,28,78,1004,0,0,0.06,0,0,0,1,4.1,7.1,0.97,199,2.208,235
2022-05-24 03:05:19 +07,2022-05-24 03:05:18 +07,32,0.402,1125633229,28,78,1004,0,0,0.06,0,0,0,1,4.1,7.1,0.963,200,1.184,180
2022-05-24 03:15:19 +07,2022-05-24 03:15:18 +07,32,0.423,1124335616,28,79,1004,0,0,0.05,0,0,0,1,4.1,7.1,0.782,187,1.32,198
2022-05-24 03:25:19 +07,2022-05-24 03:25:18 +07,32,0.521,1124348723,28,80,1003,0,0,0.05,0,0,0,1,4.1,7.1,0.961,141,1.512,163
2022-05-24 03:35:19 +07,2022-05-24 03:35:18 +07,32,0.363,1121609318,28,80,1003,0,0,0.04,0,0,0,1,4.1,7.1,0.638,179,1.278,247
2022-05-24 03:45:19 +07,2022-05-24 03:45:18 +07,32,0.396,1125993677,28,80,1003,0,0,0.05,0,0,0,1,4.1,7.1,0.873,192,1.51,164
2022-05-24 03:55:19 +07,2022-05-24 03:55:18 +07,32,0.62,1127140557,28,80,1003,0,0,0.05,0,0,0,1,4.1,7.1,1.006,196,1.514,210
2022-05-24 04:05:19 +07,2022-05-24 04:05:18 +07,32,0.492,1124702618,28,80,1003,0,0,0.05,0,0,0,1,4.1,7.1,0.859,142,1.804,162
2022-05-24 04:15:19 +07,2022-05-24 04:15:18 +07,32,0.371,1122448179,28,81,1004,0,0,0.06,0,0,0,1,4.1,7.1,0.48,110,0.719,135
2022-05-24 04:25:19 +07,2022-05-24 04:25:18 +07,32,0.508,1123365683,28,81,1004,0,0,0.05,0,0,0,1,4.1,7.1,0.805,135,1.729,210
2022-05-24 04:35:19 +07,2022-05-24 04:35:18 +07,32,0.381,1125272781,28,81,1004,0,0,0.05,0,0,0,1,4.1,7.1,0.514,136,1.168,148
2022-05-24 04:45:19 +07,2022-05-24 04:45:18 +07,32,0.381,1122054963,28,81,1004,0,0,0.05,0,0,0,1,4.1,7.1,0.449,113,0.691,127
2022-05-24 04:55:19 +07,2022-05-24 04:55:18 +07,32,0.531,1122736538,28,81,1004,0,0,0.05,0,0,0,1,4.1,7.1,0.934,144,1.758,142
2022-05-24 05:05:19 +07,2022-05-24 05:05:18 +07,32,0.61,1124322509,28,81,1004,0,0,0.06,0,0,0,1,4.1,7.1,1.187,149,1.839,175
2022-05-24 05:15:18 +07,2022-05-24 05:15:18 +07,32,0.812,1125698765,28,80,1004,0,0,0.05,0,0,0,1,4.1,7.1,1.25,165,1.94,170
2022-05-24 05:25:19 +07,2022-05-24 05:25:18 +07,32,0.567,1125836390,28,80,1004,0,0,0.05,0,0,0,1,4.1,7.1,0.951,170,1.519,174
2022-05-24 05:35:19 +07,2022-05-24 05:35:18 +07,32,0.727,1126963610,28,79,1004,0,0,0.06,0,0,0,1,4.1,7.1,1.565,168,2.284,144
2022-05-24 05:45:19 +07,2022-05-24 05:45:18 +07,32,0.427,1124204544,28,79,1003,50,0,0.09,0,0,0,1,4.1,7.1,1.137,178,2.043,203
2022-05-24 05:55:19 +07,2022-05-24 05:55:18 +07,32,0.532,1127494451,28,78,1004,298,0,0.21,0,0,0,1,4.1,7.1,0.86,181,2.025,193
2022-05-24 06:05:19 +07,2022-05-24 06:05:18 +07,32,0.479,1129060762,28,78,1004,982,0,0.54,0,0,0,1,4.1,7.1,0.881,206,1.587,226
2022-05-24 06:15:19 +07,2022-05-24 06:15:18 +07,32,0.335,1125449728,28,78,1004,2146,0,1.09,0,0,0,1,4.1,7.1,0.631,175,1.273,182
2022-05-24 06:25:19 +07,2022-05-24 06:25:18 +07,32,0.552,1124682957,28,78,1004,3842,0,1.81,0,0,0,1,4.1,7.1,0.948,144,1.552,160
2022-05-24 06:35:19 +07,2022-05-24 06:35:18 +07,32,0.348,1125049958,28,78,1005,5962,0,2.59,0,0,0,1,4.1,7.1,0.584,143,0.775,208
2022-05-24 06:45:19 +07,2022-05-24 06:45:18 +07,32,0.635,1124971315,28,77,1005,8455,0,3.51,0,0,0,1,4.1,7.1,1.292,148,1.799,151
2022-05-24 06:55:19 +07,2022-05-24 06:55:18 +07,32,0.462,1126976717,29,77,1005,9489,0,4.31,0,0,0,1,4.1,7.1,0.968,190,1.766,178
2022-05-24 07:05:19 +07,2022-05-24 07:05:18 +07,32,0.612,1126825984,29,77,1005,10413,0,5.1,0,0,0,1,4.1,7.1,1.029,178,1.769,169
2022-05-24 07:15:19 +07,2022-05-24 07:15:18 +07,32,0.69,1127396147,29,76,1005,11186,0,5.73,0,0,0,1,4.1,7.1,1.298,183,2.21,171
2022-05-24 07:25:19 +07,2022-05-24 07:25:18 +07,32,0.274,0,29,76,1005,14985,0,7.01,0,0,0,1,4.1,7.1,0.455,69,0.582,58
2022-05-24 07:35:19 +07,2022-05-24 07:35:18 +07,32,0.505,1124637082,30,74,1006,19496,0,8.47,0,0,0,1,4.1,7.1,1.238,165,2.121,175
2022-05-24 07:45:19 +07,2022-05-24 07:45:18 +07,32,0.679,1127625523,30,74,1006,21829,0,9.53,0,0,0,1,4.1,7.1,1.161,191,2.248,157
2022-05-24 07:55:19 +07,2022-05-24 07:55:18 +07,32,0.701,1126072320,30,74,1006,22441,0,10.31,0,0,0,1,4.1,7.1,1.502,153,2.237,144
2022-05-24 08:05:19 +07,2022-05-24 08:05:18 +07,32,0.955,1127173325,30,74,1006,24807,0,10.92,0,0,0,1,4.1,7.1,2.032,164,2.793,165
2022-05-24 08:15:19 +07,2022-05-24 08:15:18 +07,32,0.732,1127389594,31,73,1006,34556,0,12.16,0,0,0,1,4.2,7.1,1.29,165,3.08,201
2022-05-24 08:25:19 +07,2022-05-24 08:25:18 +07,32,1.056,1127435469,32,71,1007,54645,0,14.13,0,0,0,1,4.3,7.2,2.273,173,3.389,146
2022-05-24 08:35:19 +07,2022-05-24 08:35:18 +07,32,0.683,1129139405,32,69,1007,34771,0,14.32,0,0,0,1,4.2,7.1,1.601,198,2.633,183
2022-05-24 08:45:19 +07,2022-05-24 08:45:18 +07,32,1.3,1128969011,32,69,1007,24828,0,13.42,0,0,0,1,4.1,7.1,2.168,226,3.878,245
2022-05-24 08:55:19 +07,2022-05-24 08:55:18 +07,32,0.677,1127874560,32,69,1007,31671,0,15.82,0,0,0,1,4.1,7.1,1.433,169,2.639,210
2022-05-24 09:05:19 +07,2022-05-24 09:05:18 +07,32,1.23,1128916582,32,68,1007,71341,0,24.82,0,0,0,1,4.2,7.1,1.982,203,4.023,169
2022-05-24 09:15:19 +07,2022-05-24 09:15:18 +07,32,1.697,1128202240,33,66,1007,81680,0,29.16,0,0,0,1,4.3,7.2,3.488,175,6.326,169
2022-05-24 09:25:19 +07,2022-05-24 09:25:18 +07,32,1.572,1128621670,33,66,1007,86850,0,31.530001,0,0,0,1,4.3,7.2,3.056,170,4.389,170
2022-05-24 09:35:19 +07,2022-05-24 09:35:18 +07,32,1.898,1127972864,33,66,1007,79649,0,30.83,0,0,0,1,4.2,7.2,3.102,176,6.589,187
2022-05-24 10:25:22 +07,2022-05-24 10:25:22 +07,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-24 10:35:22 +07,2022-05-24 10:35:22 +07,32,1.929,1128792064,33,66,1007,113941,0,44.459999,0,0,0,1,4.2,7.1,3.699,167,5.336,167
2022-05-24 10:45:22 +07,2022-05-24 10:45:22 +07,32,1.299,1128300544,34,64,1007,87206,0,36.799999,0,0,0,1,4.1,7,2.182,153,4.525,157
2022-05-24 10:55:22 +07,2022-05-24 10:55:22 +07,32,1.403,1128058061,34,65,1007,48248,0,22.02,0,0,0,1,4.1,7,2.314,172,3.478,169
2022-05-24 11:05:22 +07,2022-05-24 11:05:22 +07,32,1.368,1128765850,33,66,1007,65798,0,29.889999,0,0,0,1,4.1,7.1,2.707,169,4.202,165
2022-05-24 11:15:22 +07,2022-05-24 11:15:22 +07,32,1.28,1127717274,34,65,1007,83679,0,35.759998,0,0,0,1,4.1,7.1,1.899,175,3.329,186
2022-05-24 11:25:22 +07,2022-05-24 11:25:22 +07,32,1.476,1130384589,34,63,1007,70693,0,31.379999,0,0,0,1,4.1,7.1,2.673,225,4.629,247
2022-05-24 11:35:22 +07,2022-05-24 11:35:22 +07,32,1.872,1129755443,34,64,1007,76784,0,34.41,0,0,0,1,4.1,7.1,2.662,202,5.738,229
2022-05-24 11:45:22 +07,2022-05-24 11:45:22 +07,32,2.339,1129565389,33,67,1007,81823,0,37.099998,0,0,0,1,4.1,7.1,3.32,213,5.832,181
2022-05-24 11:55:22 +07,2022-05-24 11:55:22 +07,32,1.778,1128785510,33,67,1007,93887,0,41.060001,0,0,0,1,4.1,7.1,2.838,210,4.719,150
2022-05-24 12:05:22 +07,2022-05-24 12:05:22 +07,32,1.206,1129381888,33,66,1007,123907,0,50.759998,0,0,0,1,4.1,7.1,2.314,205,3.551,204
