gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2022-06-01 06:01:12 +07,2022-06-01 06:01:12 +07,32,0.871,1120534528,27,95,1004,490,0,0.32,0,0,0,1,4,7.1,1.249,136,2.081,194
2022-06-01 06:11:12 +07,2022-06-01 06:11:12 +07,32,0.998,1120967066,27,95,1004,1105,0,0.52,0,0,0,1,4,7.1,1.778,156,2.346,157
2022-06-01 06:21:12 +07,2022-06-01 06:21:12 +07,32,0.891,1122631680,27,94,1004,3582,0,1.47,0,0,0,1,4,7.1,1.505,138,2.577,133
2022-06-01 06:31:12 +07,2022-06-01 06:31:12 +07,32,0.837,1118109696,27,93,1004,5765,0,2.24,0,0,0,1,4.1,7.1,1.177,60,1.939,50
2022-06-01 06:41:12 +07,2022-06-01 06:41:12 +07,32,0.764,1119800525,28,91,1005,8047,0,3.19,0,0,0,1,4.1,7.1,1.134,140,1.955,55
2022-06-01 06:51:12 +07,2022-06-01 06:51:12 +07,32,0.912,1123614720,28,90,1005,9890,0,4.16,0,0,0,1,4.1,7.1,1.308,155,1.865,131
2022-06-01 07:01:12 +07,2022-06-01 07:01:12 +07,32,0.953,1121963213,28,88,1005,11279,0,5.11,0,0,0,1,4.1,7.1,1.445,146,1.852,133
2022-06-01 07:11:12 +07,2022-06-01 07:11:12 +07,32,0.713,1124892672,28,87,1005,12332,0,5.78,0,0,0,1,4.1,7.1,1.278,164,2.042,197
2022-06-01 07:21:12 +07,2022-06-01 07:21:12 +07,32,0.678,1123562291,29,85,1005,14780,0,6.59,0,0,0,1,4.1,7.2,1.187,123,1.784,133
2022-06-01 07:31:12 +07,2022-06-01 07:31:12 +07,32,0.841,1120639386,30,82,1005,18208,0,7.95,0,0,0,1,4.1,7.2,1.231,125,1.806,130
2022-06-01 07:41:12 +07,2022-06-01 07:41:12 +07,32,0.547,1119354880,30,81,1005,22330,0,9.5,0,0,0,1,4.2,7.1,0.985,87,1.889,59
2022-06-01 07:51:12 +07,2022-06-01 07:51:12 +07,32,0.36,1119695667,31,77,1005,25956,0,10.54,0,0,0,1,4.2,7.1,0.55,96,1.097,280
2022-06-01 08:01:12 +07,2022-06-01 08:01:12 +07,32,0.759,1123929293,32,76,1006,29009,0,10.98,0,0,0,1,4.2,7.2,1.773,60,2.23,73
2022-06-01 08:11:12 +07,2022-06-01 08:11:12 +07,32,0.733,1123260826,31,78,1006,32958,0,11.47,0,0,0,1,4.2,7.2,1.287,150,1.756,56
2022-06-01 08:21:12 +07,2022-06-01 08:21:12 +07,32,0.902,1125508710,31,78,1006,35656,0,12.2,0,0,0,1,4.2,7.2,1.692,196,2.656,124
2022-06-01 08:31:12 +07,2022-06-01 08:31:12 +07,32,0.872,1124637082,31,79,1006,41360,0,13.06,0,0,0,1,4.2,7.2,1.874,157,2.348,151
2022-06-01 08:41:12 +07,2022-06-01 08:41:12 +07,32,0.682,1123916186,32,76,1006,47738,0,15.22,0,0,0,1,4.2,7.2,1.268,166,2.139,166
2022-06-01 08:51:12 +07,2022-06-01 08:51:12 +07,32,0.55,1128005632,32,74,1006,43527,0,16.719999,0,0,0,1,4.2,7.2,1.488,185,2.285,184
2022-06-01 09:01:12 +07,2022-06-01 09:01:12 +07,32,0.874,1127540326,32,72,1006,50287,0,18.540001,0,0,0,1,4.2,7.1,1.413,186,2.742,196
2022-06-01 09:11:12 +07,2022-06-01 09:11:12 +07,32,0.465,1132960154,32,71,1006,58256,0,21.26,0,0,0,1,4.2,7.1,0.812,281,1.262,287
2022-06-01 09:21:12 +07,2022-06-01 09:21:12 +07,32,0.487,1124748493,34,69,1006,60774,0,22.530001,0,0,0,1,4.2,7.1,0.979,125,2.126,150
2022-06-01 09:31:12 +07,2022-06-01 09:31:12 +07,32,0.663,1132193382,33,69,1006,41859,0,19.549999,0,0,0,1,4.1,7,1.626,268,2.893,204
2022-06-01 09:41:12 +07,2022-06-01 09:41:12 +07,32,0.52,1128896922,33,68,1006,73219,0,27.219999,0,0,0,1,4.2,7.1,1.364,197,2.121,179
2022-06-01 09:51:12 +07,2022-06-01 09:51:12 +07,32,0.642,1130253517,34,67,1006,78036,0,29.16,0,0,0,1,4.2,7.1,1.285,164,2.315,200
2022-06-01 10:01:12 +07,2022-06-01 10:01:12 +07,32,0.968,1129748890,33,67,1006,63199,0,26.98,0,0,0,1,4.2,7,1.704,218,2.538,264
2022-06-01 10:11:12 +07,2022-06-01 10:11:12 +07,32,0.935,1131852595,33,67,1006,82005,0,32.349998,0,0,0,1,4.2,7.1,1.766,260,3.149,225
2022-06-01 10:21:12 +07,2022-06-01 10:21:12 +07,32,0.683,1128988672,34,65,1006,86387,0,34.490002,0,0,0,1,4.2,7.1,1.267,197,2.961,137
2022-06-01 10:31:12 +07,2022-06-01 10:31:12 +07,32,1.22,1127586202,34,64,1006,101630,0,39.599998,0,0,0,1,4.2,7.1,2.209,186,3.627,199
2022-06-01 10:41:12 +07,2022-06-01 10:41:12 +07,32,0.922,1128228454,34,64,1006,108266,0,40.950001,0,0,0,1,4.2,7.1,1.674,189,2.636,184
2022-06-01 10:51:12 +07,2022-06-01 10:51:12 +07,32,0.678,1129873408,34,63,1007,85461,0,34.349998,0,0,0,1,4.2,7.1,1.492,208,2.52,166
2022-06-01 11:01:12 +07,2022-06-01 11:01:12 +07,32,1.053,1128470938,35,62,1006,111012,0,42.990002,0,0,0,1,4.2,7.1,1.732,216,2.837,184
