gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2022-10-01 06:17:05 +07,2022-10-01 06:17:04 +07,32,1.607,74.800003,26,97,1005,717,0,0.02,0,0,0,1,4,7.1,1.985,76,2.578,56
2022-10-01 06:27:05 +07,2022-10-01 06:27:05 +07,32,1.267,72.400002,26,97,1005,2775,0,0.05,0,0,0,1,4,7.1,1.622,63,2.015,55
2022-10-01 06:37:05 +07,2022-10-01 06:37:04 +07,32,1.411,75.199997,26,96,1005,5381,0,0.1,0,0,0,1,4,7.1,1.81,74,2.374,62
2022-10-01 06:47:05 +07,2022-10-01 06:47:04 +07,32,1.4,75.5,26,95,1005,7117,0,0.15,0,0,0,1,4,7.1,1.962,74,2.623,76
2022-10-01 06:57:05 +07,2022-10-01 06:57:04 +07,32,1.337,75.099998,27,94,1005,8621,0,0.2,0,0,0,1,4,7.1,1.654,72,2.159,70
2022-10-01 07:07:05 +07,2022-10-01 07:07:05 +07,32,1.227,76.900002,27,93,1006,10621,0,0.24,0,0,0,1,4,7.1,1.437,75,1.773,67
2022-10-01 07:17:05 +07,2022-10-01 07:17:04 +07,32,1.42,75.699997,27,92,1006,12626,0,0.3,0,0,0,1,4,7.1,1.959,71,2.51,66
2022-10-01 07:27:05 +07,2022-10-01 07:27:04 +07,32,1.169,79.800003,27,91,1006,16501,0,0.38,0,0,0,1,4.1,7.1,1.325,75,1.584,70
2022-10-01 07:37:05 +07,2022-10-01 07:37:04 +07,32,1.066,85.900002,28,89,1006,19971,0,0.46,0,0,0,1,4.1,7.1,1.463,75,2.06,63
2022-10-01 07:47:05 +07,2022-10-01 07:47:04 +07,32,0.991,83.5,28,87,1006,17779,0,0.54,0,0,0,1,4.1,7.1,1.215,86,1.612,51
2022-10-01 07:57:05 +07,2022-10-01 07:57:04 +07,32,1.013,97,28,86,1007,19528,0,0.54,0,0,0,1,4.1,7.1,1.476,120,2.168,116
2022-10-01 08:07:05 +07,2022-10-01 08:07:04 +07,32,1.088,87,28,86,1007,19826,0,0.57,0,0,0,1,4.1,7.1,1.496,70,2.195,145
2022-10-01 08:17:05 +07,2022-10-01 08:17:04 +07,32,0.901,92.599998,29,85,1007,21301,0,0.61,0,0,0,1,4.1,7.1,1.23,100,2.357,104
2022-10-01 08:27:05 +07,2022-10-01 08:27:04 +07,32,1.638,109.099998,29,86,1007,30006,0,0.72,0,0,0,1,4.1,7.1,2.474,147,3.133,141
2022-10-01 08:37:05 +07,2022-10-01 08:37:05 +07,32,1.166,89.699997,29,84,1007,35184,0,0.82,0,0,0,1,4.1,7.1,1.877,126,2.994,136
2022-10-01 08:47:05 +07,2022-10-01 08:47:04 +07,32,1.001,93.800003,30,83,1007,44092,0,0.94,0,0,0,1,4.1,7.1,1.288,115,2.313,109
2022-10-01 08:57:05 +07,2022-10-01 08:57:04 +07,32,0.889,99.099998,30,81,1007,35728,0,0.91,0,0,0,1,4.1,7.1,1.28,104,2.156,71
2022-10-01 09:07:05 +07,2022-10-01 09:07:04 +07,32,1.607,141.300003,30,81,1007,42484,0,1.03,0,0,0,1,4.1,7.1,2.459,133,3.99,164
2022-10-01 09:17:05 +07,2022-10-01 09:17:04 +07,32,1.266,141.5,30,81,1007,51359,0,1.19,0,0,0,1,4.1,7.1,2.514,158,3.613,139
2022-10-01 09:27:05 +07,2022-10-01 09:27:04 +07,32,1.402,165.399994,30,80,1007,46284,0,1.16,0,0,0,1,4.1,7.1,2.384,159,4.183,151
2022-10-01 09:37:05 +07,2022-10-01 09:37:05 +07,32,1.943,148.699997,30,80,1007,52592,0,1.29,0,0,0,1,4.1,7.1,3.306,153,4.438,159
2022-10-01 09:47:05 +07,2022-10-01 09:47:05 +07,32,1.741,145.100006,30,78,1007,84584,0,1.75,0,0,0,1,4.1,7.1,2.769,164,4.744,149
2022-10-01 09:57:05 +07,2022-10-01 09:57:04 +07,32,0.863,163.800003,31,77,1007,52610,0,1.25,0,0,0,1,4.1,7.1,1.678,222,3.192,180
2022-10-01 10:07:05 +07,2022-10-01 10:07:04 +07,32,1.292,192.199997,31,76,1007,38775,0,1.05,0,0,0,1,4.1,7,2.691,196,4.094,204
